Hit@1,Hit@10,Hit@100,Hit@25,Hit@5,Hit@50,MRR,NDCG@10,P_COMBINATION_ChoiceListRecall@1,P_COMBINATION_ChoiceListRecall@10,P_COMBINATION_ChoiceListRecall@100,P_COMBINATION_ChoiceListRecall@25,P_COMBINATION_ChoiceListRecall@5,P_COMBINATION_ChoiceListRecall@50,P_COMBINATION_CompleteScenarioRetrieval@1,P_COMBINATION_CompleteScenarioRetrieval@10,P_COMBINATION_CompleteScenarioRetrieval@100,P_COMBINATION_CompleteScenarioRetrieval@25,P_COMBINATION_CompleteScenarioRetrieval@5,P_COMBINATION_CompleteScenarioRetrieval@50,P_COMBINATION_WITH_ALTERNATIVES_ChoiceListRecall@1,P_COMBINATION_WITH_ALTERNATIVES_ChoiceListRecall@10,P_COMBINATION_WITH_ALTERNATIVES_ChoiceListRecall@100,P_COMBINATION_WITH_ALTERNATIVES_ChoiceListRecall@25,P_COMBINATION_WITH_ALTERNATIVES_ChoiceListRecall@5,P_COMBINATION_WITH_ALTERNATIVES_ChoiceListRecall@50,P_COMBINATION_WITH_ALTERNATIVES_CompleteScenarioRetrieval@1,P_COMBINATION_WITH_ALTERNATIVES_CompleteScenarioRetrieval@10,P_COMBINATION_WITH_ALTERNATIVES_CompleteScenarioRetrieval@100,P_COMBINATION_WITH_ALTERNATIVES_CompleteScenarioRetrieval@25,P_COMBINATION_WITH_ALTERNATIVES_CompleteScenarioRetrieval@5,P_COMBINATION_WITH_ALTERNATIVES_CompleteScenarioRetrieval@50,P_COMPLEX_ChoiceListRecall@1,P_COMPLEX_ChoiceListRecall@10,P_COMPLEX_ChoiceListRecall@100,P_COMPLEX_ChoiceListRecall@25,P_COMPLEX_ChoiceListRecall@5,P_COMPLEX_ChoiceListRecall@50,P_COMPLEX_CompleteScenarioRetrieval@1,P_COMPLEX_CompleteScenarioRetrieval@10,P_COMPLEX_CompleteScenarioRetrieval@100,P_COMPLEX_CompleteScenarioRetrieval@25,P_COMPLEX_CompleteScenarioRetrieval@5,P_COMPLEX_CompleteScenarioRetrieval@50,candidate_dev_hash,candidate_mutation_count,candidate_train_hash,checkpoint_sha256,contract_v2_sha,dropped_positive_count,epoch,expanded_source_count,learning_rate,list_max_length,list_median_length,list_min_length,list_p95_length,list_strategy,model_revision,negative_candidate_count,objective,positive_candidate_count,positive_negative_collision_count,protocol_v2_sha,run_id,runtime,seed,selected_configuration,selected_epoch,stage,test_scoring_count,test_training_count,training_list_count,training_loss,training_source_count,valid
0.4599406528189911,0.8212166172106825,0.9777448071216617,0.913946587537092,0.7396142433234422,0.9510385756676558,0.5853052878759915,0.608480746989957,0.11328125,0.3359375,0.703125,0.53515625,0.25390625,0.625,0.0,0.03125,0.40625,0.21875,0.0,0.28125,0.06547619047619047,0.3357142857142857,0.775,0.5357142857142857,0.20714285714285716,0.6857142857142857,0.0,0.11428571428571428,0.5714285714285714,0.2,0.05714285714285714,0.4,0.37938596491228066,0.8157894736842105,0.9638157894736842,0.8782894736842105,0.7072368421052632,0.9342105263157895,0.34210526315789475,0.7368421052631579,0.9473684210526315,0.8157894736842105,0.631578947368421,0.8947368421052632,c7240c1f38dd87f54d63c97999cba71d91f6d0887d89bc2d4094f9ba38ad6a6f,0,d90dcb937748f1c0b173416d6b8f23f1c97ca8e8caf8934efdf8120993c1cb10,,17c3455e2ca2414f32fc11bfbbfb186dbc710b420d8b940042e5a5b390612d46,0,1,75,1e-05,50,8,8,8,MIXED_RANK,71caf65d4927987813984f54c284405a13fcca49,61028,BCE,13204,0,5f1a9d34249acf15b451ac8434eccb57e41ff4702027359fcbf036bd156d600d,bce_mixed_rank_1e-05,89.26001086458564,17,False,3,OBJECTIVE,0,0,9224,3.0820346349001766,9224,True
0.4547477744807122,0.8256676557863502,0.9777448071216617,0.9094955489614244,0.7433234421364985,0.9488130563798219,0.5840944653775557,0.6086405893816422,0.06640625,0.3203125,0.703125,0.53515625,0.25390625,0.65625,0.0,0.03125,0.40625,0.25,0.0,0.3125,0.10833333333333332,0.38571428571428573,0.775,0.5428571428571428,0.26785714285714285,0.6857142857142857,0.0,0.14285714285714285,0.5714285714285714,0.22857142857142856,0.05714285714285714,0.4,0.418859649122807,0.8618421052631579,0.9638157894736842,0.8848684210526315,0.7631578947368421,0.9342105263157895,0.3684210526315789,0.7894736842105263,0.9473684210526315,0.8421052631578947,0.6842105263157895,0.8947368421052632,c7240c1f38dd87f54d63c97999cba71d91f6d0887d89bc2d4094f9ba38ad6a6f,0,d90dcb937748f1c0b173416d6b8f23f1c97ca8e8caf8934efdf8120993c1cb10,,17c3455e2ca2414f32fc11bfbbfb186dbc710b420d8b940042e5a5b390612d46,0,2,75,1e-05,50,8,8,8,MIXED_RANK,71caf65d4927987813984f54c284405a13fcca49,61028,BCE,13204,0,5f1a9d34249acf15b451ac8434eccb57e41ff4702027359fcbf036bd156d600d,bce_mixed_rank_1e-05,89.5467641800642,17,False,3,OBJECTIVE,0,0,9224,1.5880189780048954,9224,True
0.4629080118694362,0.8249258160237388,0.9777448071216617,0.9132047477744807,0.7425816023738873,0.9532640949554896,0.5865481340942383,0.6094879085782733,0.05078125,0.2890625,0.703125,0.56640625,0.19140625,0.671875,0.0,0.03125,0.40625,0.21875,0.0,0.34375,0.09404761904761905,0.35714285714285715,0.775,0.55,0.28452380952380957,0.6785714285714286,0.0,0.14285714285714285,0.5714285714285714,0.2571428571428571,0.08571428571428572,0.37142857142857144,0.4451754385964913,0.8486842105263158,0.9638157894736842,0.8914473684210527,0.712719298245614,0.9407894736842105,0.39473684210526316,0.7894736842105263,0.9473684210526315,0.8421052631578947,0.6578947368421053,0.8947368421052632,c7240c1f38dd87f54d63c97999cba71d91f6d0887d89bc2d4094f9ba38ad6a6f,0,d90dcb937748f1c0b173416d6b8f23f1c97ca8e8caf8934efdf8120993c1cb10,102855f565beb9471ede1d1f22fd4a77732dc4c8236ea3083bba01f8becbefec,17c3455e2ca2414f32fc11bfbbfb186dbc710b420d8b940042e5a5b390612d46,0,3,75,1e-05,50,8,8,8,MIXED_RANK,71caf65d4927987813984f54c284405a13fcca49,61028,BCE,13204,0,5f1a9d34249acf15b451ac8434eccb57e41ff4702027359fcbf036bd156d600d,bce_mixed_rank_1e-05,89.18509076908231,17,True,3,OBJECTIVE,0,0,9224,0.9249761590131551,9224,True
0.5029673590504451,0.8471810089020771,0.9777448071216617,0.9176557863501483,0.776706231454006,0.9502967359050445,0.6240778951890124,0.6436927631208914,0.140625,0.3203125,0.703125,0.51953125,0.26953125,0.640625,0.0,0.0,0.40625,0.1875,0.0,0.3125,0.10833333333333332,0.40714285714285714,0.775,0.5785714285714286,0.29285714285714287,0.6928571428571428,0.0,0.08571428571428572,0.5714285714285714,0.2,0.05714285714285714,0.42857142857142855,0.4024122807017544,0.8552631578947368,0.9638157894736842,0.8782894736842105,0.7861842105263158,0.9407894736842105,0.3684210526315789,0.7631578947368421,0.9473684210526315,0.8157894736842105,0.7105263157894737,0.9210526315789473,c7240c1f38dd87f54d63c97999cba71d91f6d0887d89bc2d4094f9ba38ad6a6f,0,d90dcb937748f1c0b173416d6b8f23f1c97ca8e8caf8934efdf8120993c1cb10,,17c3455e2ca2414f32fc11bfbbfb186dbc710b420d8b940042e5a5b390612d46,0,1,75,1e-05,50,8,8,8,MIXED_RANK,71caf65d4927987813984f54c284405a13fcca49,61028,SET_POSITIVE_LISTWISE,13204,0,5f1a9d34249acf15b451ac8434eccb57e41ff4702027359fcbf036bd156d600d,set_positive_listwise_mixed_rank_1e-05,90.83242166787386,17,False,3,OBJECTIVE,0,0,9224,2.0327288205650573,9224,True
0.5652818991097923,0.8583086053412463,0.9777448071216617,0.9191394658753709,0.8011869436201781,0.9554896142433235,0.6687457685381,0.6786644608539093,0.125,0.3984375,0.703125,0.5703125,0.30078125,0.65625,0.0,0.03125,0.40625,0.21875,0.0,0.3125,0.13690476190476192,0.45,0.775,0.5785714285714286,0.32857142857142857,0.6928571428571428,0.0,0.11428571428571428,0.5714285714285714,0.2,0.08571428571428572,0.42857142857142855,0.46820175438596495,0.8552631578947368,0.9638157894736842,0.881578947368421,0.7927631578947368,0.9407894736842105,0.42105263157894735,0.7631578947368421,0.9473684210526315,0.8157894736842105,0.7368421052631579,0.9210526315789473,c7240c1f38dd87f54d63c97999cba71d91f6d0887d89bc2d4094f9ba38ad6a6f,0,d90dcb937748f1c0b173416d6b8f23f1c97ca8e8caf8934efdf8120993c1cb10,,17c3455e2ca2414f32fc11bfbbfb186dbc710b420d8b940042e5a5b390612d46,0,2,75,1e-05,50,8,8,8,MIXED_RANK,71caf65d4927987813984f54c284405a13fcca49,61028,SET_POSITIVE_LISTWISE,13204,0,5f1a9d34249acf15b451ac8434eccb57e41ff4702027359fcbf036bd156d600d,set_positive_listwise_mixed_rank_1e-05,90.51959093101323,17,False,3,OBJECTIVE,0,0,9224,1.602890618054999,9224,True
0.5934718100890207,0.8635014836795252,0.9777448071216617,0.9250741839762612,0.8100890207715133,0.9577151335311572,0.6891086709725378,0.6955084314434428,0.125,0.3984375,0.703125,0.5546875,0.34765625,0.6875,0.0,0.03125,0.40625,0.21875,0.03125,0.375,0.13690476190476192,0.4642857142857143,0.775,0.5928571428571429,0.35714285714285715,0.6928571428571428,0.0,0.11428571428571428,0.5714285714285714,0.2571428571428571,0.08571428571428572,0.42857142857142855,0.46820175438596495,0.8552631578947368,0.9638157894736842,0.881578947368421,0.7927631578947368,0.9407894736842105,0.42105263157894735,0.7631578947368421,0.9473684210526315,0.8157894736842105,0.7368421052631579,0.9210526315789473,c7240c1f38dd87f54d63c97999cba71d91f6d0887d89bc2d4094f9ba38ad6a6f,0,d90dcb937748f1c0b173416d6b8f23f1c97ca8e8caf8934efdf8120993c1cb10,6005a250c4c265e88ed652e393bf2ff55d825533c2b0c2186a99da679b66c169,17c3455e2ca2414f32fc11bfbbfb186dbc710b420d8b940042e5a5b390612d46,0,3,75,1e-05,50,8,8,8,MIXED_RANK,71caf65d4927987813984f54c284405a13fcca49,61028,SET_POSITIVE_LISTWISE,13204,0,5f1a9d34249acf15b451ac8434eccb57e41ff4702027359fcbf036bd156d600d,set_positive_listwise_mixed_rank_1e-05,90.7209929600358,17,True,3,OBJECTIVE,0,0,9224,1.4093240633387205,9224,True
0.5029673590504451,0.8449554896142433,0.9777448071216617,0.9154302670623146,0.7692878338278932,0.9488130563798219,0.6215922942253879,0.6411895013426464,0.171875,0.3203125,0.703125,0.5234375,0.26953125,0.640625,0.0,0.0,0.40625,0.1875,0.0,0.3125,0.07976190476190476,0.40714285714285714,0.775,0.5642857142857143,0.25952380952380955,0.6928571428571428,0.0,0.11428571428571428,0.5714285714285714,0.17142857142857143,0.05714285714285714,0.42857142857142855,0.4024122807017544,0.8552631578947368,0.9638157894736842,0.881578947368421,0.7554824561403508,0.9407894736842105,0.3684210526315789,0.7631578947368421,0.9473684210526315,0.8157894736842105,0.6842105263157895,0.9210526315789473,c7240c1f38dd87f54d63c97999cba71d91f6d0887d89bc2d4094f9ba38ad6a6f,0,d90dcb937748f1c0b173416d6b8f23f1c97ca8e8caf8934efdf8120993c1cb10,,17c3455e2ca2414f32fc11bfbbfb186dbc710b420d8b940042e5a5b390612d46,0,1,75,1e-05,50,8,8,8,TOP_RANK_HARD,71caf65d4927987813984f54c284405a13fcca49,61028,SET_POSITIVE_LISTWISE,13204,0,5f1a9d34249acf15b451ac8434eccb57e41ff4702027359fcbf036bd156d600d,set_positive_listwise_top_rank_hard_1e-05,90.36945613473654,17,False,3,STRATEGY,0,0,9224,2.1386527377152484,9224,True
0.5556379821958457,0.8560830860534124,0.9777448071216617,0.9198813056379822,0.7967359050445104,0.9554896142433235,0.661924834834673,0.6721845259256379,0.109375,0.3671875,0.703125,0.5703125,0.28515625,0.65625,0.0,0.03125,0.40625,0.21875,0.0,0.3125,0.13690476190476192,0.4642857142857143,0.775,0.5785714285714286,0.34285714285714286,0.6928571428571428,0.0,0.11428571428571428,0.5714285714285714,0.2,0.08571428571428572,0.42857142857142855,0.46820175438596495,0.8552631578947368,0.9638157894736842,0.881578947368421,0.7927631578947368,0.9407894736842105,0.42105263157894735,0.7631578947368421,0.9473684210526315,0.8157894736842105,0.7368421052631579,0.9210526315789473,c7240c1f38dd87f54d63c97999cba71d91f6d0887d89bc2d4094f9ba38ad6a6f,0,d90dcb937748f1c0b173416d6b8f23f1c97ca8e8caf8934efdf8120993c1cb10,,17c3455e2ca2414f32fc11bfbbfb186dbc710b420d8b940042e5a5b390612d46,0,2,75,1e-05,50,8,8,8,TOP_RANK_HARD,71caf65d4927987813984f54c284405a13fcca49,61028,SET_POSITIVE_LISTWISE,13204,0,5f1a9d34249acf15b451ac8434eccb57e41ff4702027359fcbf036bd156d600d,set_positive_listwise_top_rank_hard_1e-05,90.24857109133154,17,False,3,STRATEGY,0,0,9224,1.7267061900880578,9224,True
0.5808605341246291,0.862759643916914,0.9777448071216617,0.9250741839762612,0.8048961424332344,0.9562314540059347,0.6803576305243143,0.6880948271591222,0.125,0.3671875,0.703125,0.5546875,0.33203125,0.671875,0.0,0.03125,0.40625,0.21875,0.03125,0.34375,0.13690476190476192,0.4642857142857143,0.775,0.5785714285714286,0.34285714285714286,0.6928571428571428,0.0,0.11428571428571428,0.5714285714285714,0.22857142857142856,0.08571428571428572,0.42857142857142855,0.46820175438596495,0.8552631578947368,0.9638157894736842,0.881578947368421,0.7927631578947368,0.9407894736842105,0.42105263157894735,0.7631578947368421,0.9473684210526315,0.8157894736842105,0.7368421052631579,0.9210526315789473,c7240c1f38dd87f54d63c97999cba71d91f6d0887d89bc2d4094f9ba38ad6a6f,0,d90dcb937748f1c0b173416d6b8f23f1c97ca8e8caf8934efdf8120993c1cb10,3f500242debb9709c6b3b8a4cc0f454a76ef80ecfff5bd88047c4d22797daa38,17c3455e2ca2414f32fc11bfbbfb186dbc710b420d8b940042e5a5b390612d46,0,3,75,1e-05,50,8,8,8,TOP_RANK_HARD,71caf65d4927987813984f54c284405a13fcca49,61028,SET_POSITIVE_LISTWISE,13204,0,5f1a9d34249acf15b451ac8434eccb57e41ff4702027359fcbf036bd156d600d,set_positive_listwise_top_rank_hard_1e-05,90.48167847841978,17,True,3,STRATEGY,0,0,9224,1.4952662883702816,9224,True
0.5066765578635015,0.8434718100890207,0.9777448071216617,0.9176557863501483,0.7752225519287834,0.9502967359050445,0.6247998104158113,0.6428996876867623,0.140625,0.3203125,0.703125,0.51953125,0.23828125,0.65625,0.0,0.0,0.40625,0.1875,0.0,0.3125,0.10833333333333332,0.39285714285714285,0.775,0.5642857142857143,0.2642857142857143,0.6928571428571428,0.0,0.11428571428571428,0.5714285714285714,0.17142857142857143,0.05714285714285714,0.42857142857142855,0.4155701754385965,0.8552631578947368,0.9638157894736842,0.8782894736842105,0.7598684210526315,0.9407894736842105,0.3684210526315789,0.7631578947368421,0.9473684210526315,0.8157894736842105,0.6842105263157895,0.9210526315789473,c7240c1f38dd87f54d63c97999cba71d91f6d0887d89bc2d4094f9ba38ad6a6f,0,d90dcb937748f1c0b173416d6b8f23f1c97ca8e8caf8934efdf8120993c1cb10,,17c3455e2ca2414f32fc11bfbbfb186dbc710b420d8b940042e5a5b390612d46,0,1,75,1e-05,50,8,8,8,MIXED_RANK,71caf65d4927987813984f54c284405a13fcca49,61028,SET_POSITIVE_LISTWISE,13204,0,5f1a9d34249acf15b451ac8434eccb57e41ff4702027359fcbf036bd156d600d,set_positive_listwise_mixed_rank_1e-05,91.20818244572729,17,False,3,STRATEGY,0,0,9224,1.9873636952873581,9224,True
0.5652818991097923,0.857566765578635,0.9777448071216617,0.9191394658753709,0.8034124629080118,0.9554896142433235,0.6690888161036009,0.6786404150062972,0.109375,0.3984375,0.703125,0.5703125,0.31640625,0.640625,0.0,0.03125,0.40625,0.21875,0.0,0.3125,0.13690476190476192,0.4642857142857143,0.775,0.5785714285714286,0.35714285714285715,0.6928571428571428,0.0,0.11428571428571428,0.5714285714285714,0.2,0.11428571428571428,0.42857142857142855,0.46820175438596495,0.8552631578947368,0.9638157894736842,0.881578947368421,0.7927631578947368,0.9407894736842105,0.42105263157894735,0.7631578947368421,0.9473684210526315,0.8157894736842105,0.7368421052631579,0.9210526315789473,c7240c1f38dd87f54d63c97999cba71d91f6d0887d89bc2d4094f9ba38ad6a6f,0,d90dcb937748f1c0b173416d6b8f23f1c97ca8e8caf8934efdf8120993c1cb10,,17c3455e2ca2414f32fc11bfbbfb186dbc710b420d8b940042e5a5b390612d46,0,2,75,1e-05,50,8,8,8,MIXED_RANK,71caf65d4927987813984f54c284405a13fcca49,61028,SET_POSITIVE_LISTWISE,13204,0,5f1a9d34249acf15b451ac8434eccb57e41ff4702027359fcbf036bd156d600d,set_positive_listwise_mixed_rank_1e-05,90.72660886403173,17,False,3,STRATEGY,0,0,9224,1.6170949210693086,9224,True
